formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
FeS2,Pa-3,0.95,0.4571999999999994,1.2,1.1022,1.7,2.5440,2.8835,1.1472,1.0000,2,12,12.605913110398866,5.26798211734967 g cm^-3,2.33,0.75,19.333333333333332,26.0,3.333333333333333,19.333333333333332,2.2154254965879874,1.095655669781683,0.4571999999999994,-4.5832,clean,1
CsPbCl3,Pm-3m,3.0,2.1878,1.2,2.7252,1.7,3.9282,2.4060,1.3142,1.0000,3,5,35.49565069211293,4.177253549505083 g cm^-3,2.52,2.37,37.6,82.0,4.2,37.6,5.1174114737031475,1.6714544475973259,2.1878,-3.3509,clean,1
CsPbBr3,Pm-3m,2.3,1.7819000000000003,1.2,2.1258,1.7,3.0076,1.7635,1.2988,1.0000,3,5,40.552086788769785,4.748507939389447 g cm^-3,2.4000000000000004,2.17,48.400000000000006,82.0,4.800000000000001,48.4,2.6582969503681606,1.20132723640861,1.7819000000000003,-2.9816,clean,1
CsPbI3,Pm-3m,1.73,1.4788,1.2,1.6892,1.7,2.3508,1.3232,1.2308,1.0000,3,5,48.79902911491807,4.905621697138184 g cm^-3,2.22,1.87,59.2,82.0,5.4,59.2,2.5563116133250334,1.1778250184970174,1.4788,-2.4301,clean,1
NaCl,Fm-3m,8.5,5.0037,1.2,7.0030,1.7,10.8798,7.7536,1.3931,1.0000,2,2,21.920029623887157,2.2136489597617786 g cm^-3,2.045,2.23,14.0,17.0,3.0,14.0,2.9960250727172024,1.2760980472699022,5.0037,-1.1892,clean,1
KCl,Fm-3m,8.5,5.0448,1.2,7.0222,1.7,10.8679,7.6914,1.3921,1.0000,2,2,30.536580543008167,2.027000795676212 g cm^-3,1.99,2.3400000000000003,18.0,19.0,3.5,18.0,2.9628574675552604,1.2689482358609137,5.0448,-0.8511,clean,1
AgCl,Fm-3m,3.25,0.9522000000000002,1.2,2.2194,1.7,4.2100,3.9811,1.4589,1.0000,2,2,20.188717746752676,5.894144805463742 g cm^-3,2.545,1.2300000000000002,32.0,47.0,4.0,32.0,2.6633625345045524,1.2024827292082487,0.9522000000000002,-3.7073,clean,1
CuInSe2,I-42d,1.04,0.0,1.2,0.3405,1.7,1.2948,1.9085,1.5665,1.0000,3,8,24.148970985640304,5.7809162945758965 g cm^-3,2.195,0.7699999999999998,36.5,49.0,4.25,36.5,3.2139073341483004,1.3221137967252954,0.0,-3.5913,clean,1
CuGaSe2,I-42d,1.68,0.03980000000000006,1.2,0.9188,1.7,1.9938,2.1501,1.5541,1.0000,3,8,21.530992239835538,5.614357026351804 g cm^-3,2.2024999999999997,0.7399999999999998,32.0,34.0,4.0,32.0,3.5060739398645335,1.3814350661211534,0.03980000000000006,-3.8648,clean,1
Ga2O3,C2/m,4.8,2.0151,1.2,3.7259,1.7,5.9836,4.5155,1.4379,1.0000,2,10,10.562688828735077,5.893545137121266 g cm^-3,2.7880000000000003,1.63,17.2,31.0,2.8,17.2,5.664266652437678,1.7591202361039113,2.0151,-3.0927,clean,1
